Respondent_ID,"Your affiliation with institute?
(batch or program, in case of students)",Which area(s)/field(s) are you interested in?,How many merch do you buy per year?,Which type of merchandise are you most interested in purchasing?,What theme or concept should the merch design revolve around?,"If you could only buy one item of merch next semester, which specific product would it be?",Is there an item you’ve always wanted to see in IISERM but no club/community has ever released?,Which material/fabric do you prefer for apparel items (T-shirts/Hoodies)?,Please rate the importance of the following design elements for the apparel: [Subtle/Small Design],Please rate the importance of the following design elements for the apparel: [Bold/Large Design],Please rate the importance of the following design elements for the apparel: [Inclusion of 'IISER Mohali' or related logo],Please rate the importance of the following design elements for the apparel: [Inclusion of Club/Event or related logo],Please rate the importance of the following design elements for the apparel: [Hero design (main) on the front (in case of clothing)],Please rate the importance of the following design elements for the apparel: [Any design on the front (in case of clothing)],Please rate the importance of the following design elements for the apparel: [Hero design (main) on the back (in case of clothing)],Please rate the importance of the following design elements for the apparel: [Any design on the back (in case of clothing)],Please rate the importance of the following design elements for the apparel: [Design on the sleeve (in case of clothing)],What specific size range are you most likely to purchase for apparel (T-shirts/Hoodies)?,"What is the price you would be willing to pay for a ""good"" Sweatshirt?","What apparel/clothing do you look for other than conventional T-shirts, hoodies, and sweatshirts as merch?",What would you prefer carrying your laptop in?,Which color scheme do you prefer for the merchandise?,What desk/stationary item do you suggest?,What tech accessory do you suggest?,What Turing-specific plushie(s) do you prefer?,What plushie(s) in-general do you prefer?,What matters the most when buying a merch? [The club or community releasing the merch],What matters the most when buying a merch? [The merch design and aesthetic],What matters the most when buying a merch? [The merch functionality],What matters the most when buying a merch? [Quality of Item/Material],What matters the most when buying a merch? [Uniqueness (Limited Edition)],What matters the most when buying a merch? [Your requirement for that specific item],What matters the most when buying a merch? [Your budget],Will you buy any merch blindly of a particular IISERM club/community?,Describe your Turing-specific merch design idea.,Describe your in-general merch design idea.,"If you have a design sketch, link to a file, or visual reference(pinterest, etc.), please upload it here.",In what context have you responded to the above questions more or less?,Anything else you consider mentioning or adding?,Data Release & Privacy Consent
2TJ7,MS23,Physics;Math,0.0,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Stickers;Rubber Ducks;Plushies,"Some Computational Idea;Computer or Tech related Logos or Mascots (penguin, arch, etc.);Funny/Witty Computational Pun",T shirt,Plush,No strong preference,Not Preferred,Preferred,Not Preferred,Not Preferred,Preferred,Preferred,Preferred,Preferred,Not Preferred,S (Small);M (Medium),200 - 400 INR,,Backpack,"Dark (e.g., Black, Navy Blue, Dark Gray)",Plush,Plush?,,,Low Priority,Absolutely/Of course,Absolutely/Of course,High Priority,Maybe/Sometimes,High Priority,High Priority,No,,,,In-general,,I agree
NNY7,MS23,Physics,2.0,T-Shirts (Half Sleeve);Jackets (Full Zip);Caps;Stickers;Rubber Ducks;Keychain,Some Historic Figure;Inside Jokes/IISERM Niche;Funny/Witty Computational Pun,Jacket,Cap,No strong preference,Preferred,Not Preferred,Preferred,Preferred,Highly Preferred,Preferred,Preferred,Not Preferred,Not Preferred,L (Large);XL (Extra Large),400 - 600 INR,"Baggy pants, headbands, scarfs",Backpack;Cross-body Bag,"Dark (e.g., Black, Navy Blue, Dark Gray);Bright/Vibrant (e.g., Royal Blue, Red, Yellow)",Stationery pouch,Mouse pads,Panda,Small ones,Maybe/Sometimes,Absolutely/Of course,Absolutely/Of course,Maybe/Sometimes,Low Priority,Maybe/Sometimes,Absolutely/Of course,No,"Something with enigma, or about human side of the technological world",Need to have good colors i.e. the balance in design ,,In-general,,I agree
ZBXK,MS24,Physics,,T-Shirts (Half Sleeve);Jackets (Full Zip),IISER Mohali Campus (Subtle inclusion);Small Club Logo (For the sake of Merch),Jacket (full zip),,"Cotton Blend (e.g., 80% Cotton, 20% Polyester)",Not Preferred,Highly Preferred,Highly Preferred,Preferred,Not Preferred,Not Preferred,Preferred,Preferred,Highly Preferred,S (Small);M (Medium),400 - 600 INR,,Backpack,"Light (e.g., White, Light Gray, Beige);Club-specific Colors (e.g., specific shades associated with the club)",.,.,,,Absolutely/Of course,High Priority,Maybe/Sometimes,High Priority,High Priority,Maybe/Sometimes,Maybe/Sometimes,Yes,,,,In-general,,I agree
DHR2,MS25,Physics;Math,2.0,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Jackets (Full Zip);Stickers,"Some Computational Idea;Computer or Tech related Logos or Mascots (penguin, arch, etc.);Funny/Witty Computational Pun;simple memey codeblocks that smart people get,  leet code","t shirt, h00dies ","laptop stickers, tech gear, ","100% Cotton;Cotton Blend (e.g., 80% Cotton, 20% Polyester)",Not Preferred,Highly Preferred,Highly Preferred,Highly Preferred,Highly Preferred,Not Preferred,Preferred,Highly Preferred,Highly Preferred,L (Large),200 - 400 INR,,Backpack,"Dark (e.g., Black, Navy Blue, Dark Gray);Light (e.g., White, Light Gray, Beige);Club-specific Colors (e.g., specific shades associated with the club)","book(notepad), pen",mouse probably,,,Absolutely/Of course,Absolutely/Of course,Maybe/Sometimes,Absolutely/Of course,Maybe/Sometimes,High Priority,Absolutely/Of course,No,,"typical stuff thats seen in the CS setting, memes, codeblocks etc. if you can include stuff about cs theory, that would be a +1",,In-general,,I agree
3LZW,PhD,EES,4.0,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Jackets (Full Zip);Caps;Stickers;Laptop Bags,"Some Historic Figure;Some Computational Idea;Computer or Tech related Logos or Mascots (penguin, arch, etc.);IISER Mohali Campus (Subtle inclusion);Minimalist/Abstract Computational Graphics",Hoodie/Jacket,Official T-shirt,"Cotton Blend (e.g., 80% Cotton, 20% Polyester);Performance/Quick-Dry Fabric (e.g., Polyester)",Preferred,Preferred,Highly Preferred,Not Preferred,Preferred,Not Preferred,Not Preferred,Not Preferred,Not Preferred,M (Medium);L (Large),400 - 600 INR,backpack and Tracksuit combo (for reference: https://www.myntra.com/tracksuits/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-hooded-raglan-sleeves-rapid-dry-running-tracksuit/37028439/buy) loose fit,Backpack,Mix and Match (Different colors for different items),Water bottle ,phone  cover,,,Maybe/Sometimes,Absolutely/Of course,Absolutely/Of course,High Priority,High Priority,Maybe/Sometimes,High Priority,No,,"Please keep the IISER Mohali theme, logo, color and text font as the main character. Design and style can be changed accordingly and for some occasional use (a cause, campaign, any day celebration) the colors may be changed. Also, in my personal opinion, minimalist design with IISER vibe will be amazing.   ",,In-general,"What if we create a merch website, having all clubs stuffs there?

These choices and comments are given in context of general use",I agree
ESE0,MS25,Biology;Physics;Math,1.0,T-Shirts (Half Sleeve);Stickers;Laptop Bags;Plushies,IISER Mohali Campus (Subtle inclusion);Inside Jokes/IISERM Niche;Minimalist/Abstract Computational Graphics;Funny/Witty Computational Pun,t shirt,,"Cotton Blend (e.g., 80% Cotton, 20% Polyester)",Preferred,Preferred,Highly Preferred,Highly Preferred,Preferred,Preferred,Preferred,Preferred,Not Preferred,XS (Extra Small),200 - 400 INR,,Laptop Sleeve,Mix and Match (Different colors for different items),"diary, pencil pouch",earphones,,,High Priority,High Priority,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,High Priority,High Priority,No,,,,In-general,,I agree
Q7WE,MS24,Physics,10.0,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Jackets (Full Zip);Laptop Bags;Laptop Sleeve;Coffee Mugs,Minimalist/Abstract Computational Graphics,[redacted],,100% Cotton,Not Preferred,Highly Preferred,Not Preferred,Preferred,Highly Preferred,Highly Preferred,Highly Preferred,Highly Preferred,Highly Preferred,XXL (Double Extra Large),800 - 1000 INR,"oversized, shoulder drpped",Cross-body Bag,"Dark (e.g., Black, Navy Blue, Dark Gray)",mug.,ram,dragon,dragon,Low Priority,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,Maybe/Sometimes,No,,,,In-general,[redacted],I agree
MDB0,,,,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Jackets (Full Zip);Caps,Some Historic Figure;IISER Mohali Campus (Subtle inclusion);Inside Jokes/IISERM Niche;Funny/Witty Computational Pun,Hoodie ,,"100% Cotton;Performance/Quick-Dry Fabric (e.g., Polyester)",Preferred,Preferred,Preferred,Preferred,Not Preferred,Not Preferred,Highly Preferred,Highly Preferred,Highly Preferred,XL (Extra Large),600 - 800 INR,,Backpack,"Dark (e.g., Black, Navy Blue, Dark Gray)",Bookmark ,Earphones ,,,Low Priority,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,High Priority,Absolutely/Of course,Absolutely/Of course,,,,,In-general,,I agree
RZO6,MS25,Biology;Physics;Math,3.0,T-Shirts (Half Sleeve);Jackets (Full Zip);Plushies,Some Computational Idea;IISER Mohali Campus (Subtle inclusion);Minimalist/Abstract Computational Graphics,T shirt ,,No strong preference,Not Preferred,Preferred,Highly Preferred,Highly Preferred,Preferred,Preferred,Preferred,Preferred,Not Preferred,M (Medium),200 - 400 INR,,Cross-body Bag,"Light (e.g., White, Light Gray, Beige);Mix and Match (Different colors for different items)",Stationary stand,Mouse,,,Maybe/Sometimes,High Priority,High Priority,High Priority,Absolutely/Of course,Maybe/Sometimes,High Priority,No,,,,In-general,,I agree
QK2J,MS25,Biology;HSS;Physics;Math,3.0,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Laptop Bags;Rubber Ducks,"Some Computational Idea;Computer or Tech related Logos or Mascots (penguin, arch, etc.);Inside Jokes/IISERM Niche;Funny/Witty Computational Pun",laptop bag 🙂‍↕️,,100% Cotton,Not Preferred,Highly Preferred,Preferred,Preferred,Not Preferred,Preferred,Highly Preferred,Highly Preferred,Not Preferred,S (Small),400 - 600 INR,,Laptop Sleeve,"Bright/Vibrant (e.g., Royal Blue, Red, Yellow);Club-specific Colors (e.g., specific shades associated with the club);Mix and Match (Different colors for different items)",a mini notepad ,nothing comes to mind that is feasible really ,rubber duck ples 👉👈,,Maybe/Sometimes,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,No,,,,Turing-specific,,I agree
